"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 19:53:54 CST 2022","Thu Nov 10 19:53:54 CST 2022","410","testcase_api","test_004_beacon_alert_list","TestBeaconAlertList","","","税收监管左部告警信息--镇街",""
"passed","Thu Nov 10 19:57:17 CST 2022","Thu Nov 10 19:57:18 CST 2022","215","testcase_api","test_072_iot_belt_page","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:57:16 CST 2022","Thu Nov 10 19:57:17 CST 2022","1006","testcase_api","test_068_emerg_date_data_list","TestMoatOrgFullTree","","","告警中心--告警管理--告警类型",""
"passed","Thu Nov 10 19:56:28 CST 2022","Thu Nov 10 19:56:28 CST 2022","189","testcase_api","test_018_mib_out_of_control","TestMibOutOfControl","","","税收监管--各矿区设备在离线情况--镇街",""
"passed","Thu Nov 10 19:57:27 CST 2022","Thu Nov 10 19:57:27 CST 2022","290","testcase_api","test_083_boss_car_inout_data_weight_summary_data_export","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据--销售量导出",""
"passed","Thu Nov 10 19:56:24 CST 2022","Thu Nov 10 19:56:25 CST 2022","1159","testcase_api","test_016_boss_tickets","TestBossTickets","","","矿山数据统计--销售数据--列表",""
"passed","Thu Nov 10 19:56:43 CST 2022","Thu Nov 10 19:56:44 CST 2022","695","testcase_api","test_023_boss_ticket_produce_sale_rate","TestBossTicketProduceSaleRate","","","税收监管--矿产加工销售占比--市级",""
"passed","Thu Nov 10 19:56:17 CST 2022","Thu Nov 10 19:56:17 CST 2022","210","testcase_api","test_012_gbserver_device","TestGbserverDevice","","","驾驶舱矿区实景--破碎机(马真良为例)",""
"passed","Thu Nov 10 19:56:17 CST 2022","Thu Nov 10 19:56:17 CST 2022","345","testcase_api","test_012_gbserver_device","TestGbserverDevice","","","驾驶舱矿区实景--加工区监控(马真良为例)",""
"passed","Thu Nov 10 19:56:55 CST 2022","Thu Nov 10 19:56:55 CST 2022","788","testcase_api","test_042_boss_belt_datas","TestMoatOrgFullTree","","","矿山数据统计--生产数据--列表及关键字搜索",""
"passed","Thu Nov 10 19:57:10 CST 2022","Thu Nov 10 19:57:10 CST 2022","264","testcase_api","test_059_bda_list","TestMoatOrgFullTree","","","销售数据管理--审核的旗帜数据--审核的旗帜数据",""
"passed","Thu Nov 10 19:57:25 CST 2022","Thu Nov 10 19:57:25 CST 2022","288","testcase_api","test_080_boss_belt_data_belt_summary_data","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据统计列表",""
"passed","Thu Nov 10 19:53:59 CST 2022","Thu Nov 10 19:54:00 CST 2022","210","testcase_api","test_006_boss_point_mines","TestBossPointMines","","","企业管理--矿区管理--矿区列表",""
"passed","Thu Nov 10 19:56:27 CST 2022","Thu Nov 10 19:56:27 CST 2022","260","testcase_api","test_017_moat_area_tree","TestMoatAreaTree","","","税收监管--行政单位树--区县",""
"passed","Thu Nov 10 19:56:32 CST 2022","Thu Nov 10 19:56:34 CST 2022","1887","testcase_api","test_021_boss_ticket_top_count","TestBossTicketTopCount","","","税收监管--顶部看板--区县",""
"passed","Thu Nov 10 19:56:28 CST 2022","Thu Nov 10 19:56:28 CST 2022","253","testcase_api","test_019_beacon_alert_statistics","TestBeaconAlertStatistics","","","税收监管--近7日告警提醒--区县",""
"passed","Thu Nov 10 19:56:45 CST 2022","Thu Nov 10 19:56:46 CST 2022","385","testcase_api","test_024_boss_ticket_weight_by_goods","TestBossTicketWeightByGoods","","","税收监管--产矿销售种类占比--区县",""
"passed","Thu Nov 10 19:53:52 CST 2022","Thu Nov 10 19:53:53 CST 2022","1081","testcase_api","test_004_beacon_alert_list","TestBeaconAlertList","","","税收监管左部告警信息--市级",""
"passed","Thu Nov 10 19:53:54 CST 2022","Thu Nov 10 19:53:55 CST 2022","404","testcase_api","test_004_beacon_alert_list","TestBeaconAlertList","","","告警管理--告警中心--联合筛选",""
"passed","Thu Nov 10 19:57:26 CST 2022","Thu Nov 10 19:57:26 CST 2022","560","testcase_api","test_081_boss_belt_data_belt_summary_data_export","TestMoatOrgFullTree","","","矿山数据统计--加工销售数据--加工量导出",""
